"Time","Pod: vllm-granite-cpuoffload-kshw6 - Node:sunyibm1.fsl.cs.sunysb.edu - GPU:0"
2025-12-02 11:42:15,26 °C
2025-12-02 11:42:30,26 °C
2025-12-02 11:42:45,26 °C
2025-12-02 11:43:00,26 °C
2025-12-02 11:43:15,32 °C
2025-12-02 11:43:30,32 °C
2025-12-02 11:43:45,34 °C
2025-12-02 11:44:00,34 °C
2025-12-02 11:44:15,37 °C
2025-12-02 11:44:30,37 °C
2025-12-02 11:44:45,40 °C
2025-12-02 11:45:00,40 °C
2025-12-02 11:45:15,41 °C
2025-12-02 11:45:30,41 °C
2025-12-02 11:45:45,43 °C
2025-12-02 11:46:00,43 °C
2025-12-02 11:46:15,44 °C
2025-12-02 11:46:30,44 °C
2025-12-02 11:46:45,51 °C
2025-12-02 11:47:00,51 °C
2025-12-02 11:47:15,57 °C
2025-12-02 11:47:30,57 °C
2025-12-02 11:47:45,45 °C
2025-12-02 11:48:00,45 °C
2025-12-02 11:48:15,38 °C
2025-12-02 11:48:30,38 °C
2025-12-02 11:48:45,34 °C
2025-12-02 11:49:00,34 °C
2025-12-02 11:49:15,43 °C
2025-12-02 11:49:30,43 °C
2025-12-02 11:49:45,45 °C
2025-12-02 11:50:00,45 °C
2025-12-02 11:50:15,37 °C
2025-12-02 11:50:30,37 °C
