"Time","vllm-granite-cpuoffload-kshw6"
2025-12-02 11:48:00,0 s
2025-12-02 11:48:15,0 s
2025-12-02 11:48:30,0 s
2025-12-02 11:48:45,0 s
2025-12-02 11:49:00,0 s
2025-12-02 11:49:15,0 s
2025-12-02 11:49:30,0 s
2025-12-02 11:49:45,0 s
