"Time","vllm-granite-cpuoffload-kshw6 : ingress"
2025-12-02 11:43:00,982 mp/s
2025-12-02 11:43:15,1.30 p/s
2025-12-02 11:43:30,900 mp/s
2025-12-02 11:43:45,900 mp/s
2025-12-02 11:44:00,1.13 p/s
2025-12-02 11:44:15,1.13 p/s
2025-12-02 11:44:30,133 mp/s
2025-12-02 11:44:45,133 mp/s
2025-12-02 11:45:00,133 mp/s
2025-12-02 11:45:15,133 mp/s
2025-12-02 11:45:30,167 mp/s
2025-12-02 11:45:45,167 mp/s
2025-12-02 11:46:00,133 mp/s
2025-12-02 11:46:15,133 mp/s
2025-12-02 11:46:30,167 mp/s
2025-12-02 11:46:45,167 mp/s
2025-12-02 11:47:00,200 mp/s
2025-12-02 11:47:15,200 mp/s
2025-12-02 11:47:30,100 mp/s
2025-12-02 11:47:45,100 mp/s
2025-12-02 11:48:00,1.60 p/s
2025-12-02 11:48:15,1.60 p/s
2025-12-02 11:48:30,1.27 p/s
2025-12-02 11:48:45,1.27 p/s
2025-12-02 11:49:00,733 mp/s
2025-12-02 11:49:15,733 mp/s
2025-12-02 11:49:30,833 mp/s
2025-12-02 11:49:45,833 mp/s
2025-12-02 11:50:00,867 mp/s
2025-12-02 11:50:15,867 mp/s
2025-12-02 11:50:30,400 mp/s
