"Time","{__name__=""container_memory_usage_bytes"", container=""vllm-container"", endpoint=""https-metrics"", id=""/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod73774065_a0de_45b6_9aa0_0124ff319e77.slice/cri-containerd-ee7f1929667f8d8a232509a0a651ecd2c90593bd1e8808c21f7bd6ad60e35ee0.scope"", image=""docker.io/vllm/vllm-openai:latest"", instance=""130.245.126.109:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""ee7f1929667f8d8a232509a0a651ecd2c90593bd1e8808c21f7bd6ad60e35ee0"", namespace=""llm-servings"", node=""sunyibm1.fsl.cs.sunysb.edu"", pod=""vllm-granite-maxnumseq-7xz9b"", service=""kubelet""}"
2025-12-02 12:00:30,3.51 MiB
2025-12-02 12:00:45,3.51 MiB
2025-12-02 12:01:00,1.13 GiB
2025-12-02 12:01:15,1.13 GiB
2025-12-02 12:01:30,2.92 GiB
2025-12-02 12:01:45,2.92 GiB
2025-12-02 12:02:00,3.54 GiB
2025-12-02 12:02:15,3.54 GiB
2025-12-02 12:02:30,5.57 GiB
2025-12-02 12:02:45,5.57 GiB
2025-12-02 12:03:00,8.90 GiB
2025-12-02 12:03:15,8.90 GiB
2025-12-02 12:03:30,12.0 GiB
2025-12-02 12:03:45,12.0 GiB
2025-12-02 12:04:00,15.7 GiB
2025-12-02 12:04:15,15.7 GiB
2025-12-02 12:04:30,16.9 GiB
2025-12-02 12:04:45,16.9 GiB
2025-12-02 12:05:00,17.8 GiB
2025-12-02 12:05:15,17.8 GiB
2025-12-02 12:05:30,17.8 GiB
2025-12-02 12:05:45,17.8 GiB
2025-12-02 12:06:00,17.8 GiB
2025-12-02 12:06:15,17.8 GiB
2025-12-02 12:06:30,17.8 GiB
2025-12-02 12:06:45,17.8 GiB
2025-12-02 12:07:00,17.8 GiB
2025-12-02 12:07:15,17.8 GiB
2025-12-02 12:07:30,17.8 GiB
