"Time","{__name__=""container_memory_cache"", container=""vllm-container"", endpoint=""https-metrics"", id=""/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod73774065_a0de_45b6_9aa0_0124ff319e77.slice/cri-containerd-ee7f1929667f8d8a232509a0a651ecd2c90593bd1e8808c21f7bd6ad60e35ee0.scope"", image=""docker.io/vllm/vllm-openai:latest"", instance=""130.245.126.109:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""ee7f1929667f8d8a232509a0a651ecd2c90593bd1e8808c21f7bd6ad60e35ee0"", namespace=""llm-servings"", node=""sunyibm1.fsl.cs.sunysb.edu"", pod=""vllm-granite-maxnumseq-7xz9b"", service=""kubelet""}"
2025-12-02 12:00:30,0 B
2025-12-02 12:00:45,0 B
2025-12-02 12:01:00,75.6 MiB
2025-12-02 12:01:15,75.6 MiB
2025-12-02 12:01:30,121 MiB
2025-12-02 12:01:45,121 MiB
2025-12-02 12:02:00,2.16 GiB
2025-12-02 12:02:15,2.16 GiB
2025-12-02 12:02:30,4.18 GiB
2025-12-02 12:02:45,4.18 GiB
2025-12-02 12:03:00,7.50 GiB
2025-12-02 12:03:15,7.50 GiB
2025-12-02 12:03:30,10.6 GiB
2025-12-02 12:03:45,10.6 GiB
2025-12-02 12:04:00,14.3 GiB
2025-12-02 12:04:15,14.3 GiB
2025-12-02 12:04:30,15.4 GiB
2025-12-02 12:04:45,15.4 GiB
2025-12-02 12:05:00,15.4 GiB
2025-12-02 12:05:15,15.4 GiB
2025-12-02 12:05:30,15.4 GiB
2025-12-02 12:05:45,15.4 GiB
2025-12-02 12:06:00,15.4 GiB
2025-12-02 12:06:15,15.4 GiB
2025-12-02 12:06:30,15.4 GiB
2025-12-02 12:06:45,15.4 GiB
2025-12-02 12:07:00,15.4 GiB
2025-12-02 12:07:15,15.4 GiB
2025-12-02 12:07:30,15.4 GiB
