"Time","container : vllm-container"
2025-12-02 12:28:15,1.69
2025-12-02 12:28:30,1.69
2025-12-02 12:28:45,0.460
2025-12-02 12:29:00,0.460
2025-12-02 12:29:15,0.277
2025-12-02 12:29:30,0.277
2025-12-02 12:29:45,0.301
2025-12-02 12:30:00,0.301
2025-12-02 12:30:15,0.354
2025-12-02 12:30:30,0.354
2025-12-02 12:30:45,0.167
2025-12-02 12:31:00,0.167
2025-12-02 12:31:15,0.643
2025-12-02 12:31:30,0.643
2025-12-02 12:31:45,1.00
2025-12-02 12:32:00,1.00
2025-12-02 12:32:15,0.0329
2025-12-02 12:32:30,0.0329
2025-12-02 12:32:45,0.0320
2025-12-02 12:33:00,0.0320
2025-12-02 12:33:15,0.0335
2025-12-02 12:33:30,0.0335
2025-12-02 12:33:45,0.0389
2025-12-02 12:34:00,0.0389
2025-12-02 12:34:15,0.0314
2025-12-02 12:34:30,0.0314
2025-12-02 12:34:45,0.180
2025-12-02 12:35:00,0.180
2025-12-02 12:35:15,0.0365
2025-12-02 12:35:30,0.0365
2025-12-02 12:35:45,0.0402
