"Time","Pod: vllm-llama-8dffv - Node:sunyibm1.fsl.cs.sunysb.edu - GPU:0"
2025-12-02 12:27:00,32 °C
2025-12-02 12:27:15,30 °C
2025-12-02 12:27:30,30 °C
2025-12-02 12:27:45,32 °C
2025-12-02 12:28:00,32 °C
2025-12-02 12:28:15,34 °C
2025-12-02 12:28:30,34 °C
2025-12-02 12:28:45,38 °C
2025-12-02 12:29:00,38 °C
2025-12-02 12:29:15,40 °C
2025-12-02 12:29:30,40 °C
2025-12-02 12:29:45,42 °C
2025-12-02 12:30:00,42 °C
2025-12-02 12:30:15,43 °C
2025-12-02 12:30:30,43 °C
2025-12-02 12:30:45,44 °C
2025-12-02 12:31:00,44 °C
2025-12-02 12:31:15,48 °C
2025-12-02 12:31:30,48 °C
2025-12-02 12:31:45,39 °C
2025-12-02 12:32:00,39 °C
2025-12-02 12:32:15,35 °C
2025-12-02 12:32:30,35 °C
2025-12-02 12:32:45,32 °C
2025-12-02 12:33:00,32 °C
2025-12-02 12:33:15,30 °C
2025-12-02 12:33:30,30 °C
2025-12-02 12:33:45,29 °C
2025-12-02 12:34:00,29 °C
2025-12-02 12:34:15,37 °C
2025-12-02 12:34:30,37 °C
2025-12-02 12:34:45,31 °C
2025-12-02 12:35:00,31 °C
2025-12-02 12:35:15,30 °C
2025-12-02 12:35:30,30 °C
2025-12-02 12:35:45,29 °C
