start_date,end_date,model_name,run_name,batch_size,num_epochs,learning_rate,input_shape,gpu_type,epoch_duration_sec,max_gpu_memory_mb,activation_functions,num_parameters,num_classes,dropout_rate,train_sample_count,val_sample_count
2025-04-29 05:43:52,2025-04-29 05:51:13,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train2000_epoch6,64,6,0.001,"(3, 384, 384)",Quadro RTX 6000,71.52,21846.36,['GELU'],86859496,1000,0.1,2000,200
2025-04-29 05:51:13,2025-04-29 05:52:39,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train500_epoch4,64,4,0.001,"(3, 384, 384)",Quadro RTX 6000,17.86,21846.36,['GELU'],86859496,1000,0.1,500,100
2025-04-29 05:52:39,2025-04-29 05:57:36,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train2000_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,71.34,21846.36,['GELU'],86859496,1000,0.0,2000,100
2025-04-29 05:57:36,2025-04-29 05:59:00,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.3_train500_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,18.14,21846.36,['GELU'],86859496,1000,0.3,500,100
2025-04-29 05:59:00,2025-04-29 05:59:15,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.3_train2000_epoch4,FAILED,4,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,2000,200
2025-04-29 05:59:15,2025-04-29 05:59:28,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train5000_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,5000,100
2025-04-29 05:59:28,2025-04-29 05:59:39,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.0_train2000_epoch2,FAILED,2,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,2000,100
2025-04-29 05:59:39,2025-04-29 05:59:52,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.3_train2000_epoch6,FAILED,6,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,2000,200
2025-04-29 05:59:52,2025-04-29 06:00:08,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train500_epoch2,FAILED,2,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,500,200
2025-04-29 06:00:08,2025-04-29 06:05:05,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.0_train2000_epoch4,64,4,0.01,"(3, 384, 384)",Quadro RTX 6000,71.21,21846.36,['GELU'],86859496,1000,0.0,2000,100
2025-04-29 06:05:05,2025-04-29 06:05:21,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.3_train2000_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,2000,200
2025-04-29 06:05:21,2025-04-29 06:11:29,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train5000_epoch2,64,2,0.0001,"(3, 384, 384)",Quadro RTX 6000,178.53,21846.36,['GELU'],86859496,1000,0.1,5000,200
2025-04-29 06:11:29,2025-04-29 06:12:54,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train500_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,17.94,21846.36,['GELU'],86859496,1000,0.0,500,100
2025-04-29 06:12:54,2025-04-29 06:13:10,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.3_train500_epoch6,FAILED,6,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,500,200
2025-04-29 06:13:10,2025-04-29 06:13:25,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.0_train2000_epoch6,FAILED,6,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,2000,100
2025-04-29 06:13:25,2025-04-29 06:13:37,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.0_train5000_epoch4,FAILED,4,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,5000,200
2025-04-29 06:13:37,2025-04-29 06:15:34,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train500_epoch6,64,6,0.001,"(3, 384, 384)",Quadro RTX 6000,17.75,21846.36,['GELU'],86859496,1000,0.1,500,200
2025-04-29 06:15:34,2025-04-29 06:15:48,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train5000_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,5000,200
2025-04-29 06:15:48,2025-04-29 06:27:54,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train5000_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,178.65,21846.36,['GELU'],86859496,1000,0.0,5000,100
2025-04-29 06:27:54,2025-04-29 06:30:27,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train2000_epoch2,64,2,0.0001,"(3, 384, 384)",Quadro RTX 6000,71.43,21846.36,['GELU'],86859496,1000,0.0,2000,100
2025-04-29 06:30:27,2025-04-29 06:35:25,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train2000_epoch4,64,4,0.001,"(3, 384, 384)",Quadro RTX 6000,71.91,21846.36,['GELU'],86859496,1000,0.3,2000,100
2025-04-29 06:35:25,2025-04-29 06:36:47,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.1_train500_epoch4,64,4,0.01,"(3, 384, 384)",Quadro RTX 6000,17.84,21846.36,['GELU'],86859496,1000,0.1,500,200
2025-04-29 06:36:47,2025-04-29 06:39:20,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train2000_epoch2,64,2,0.001,"(3, 384, 384)",Quadro RTX 6000,71.29,21846.36,['GELU'],86859496,1000,0.1,2000,100
2025-04-29 06:39:20,2025-04-29 06:39:36,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.3_train500_epoch6,FAILED,6,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,500,100
2025-04-29 06:39:36,2025-04-29 06:45:44,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.0_train5000_epoch2,64,2,0.001,"(3, 384, 384)",Quadro RTX 6000,178.14,21846.36,['GELU'],86859496,1000,0.0,5000,200
2025-04-29 06:45:44,2025-04-29 07:03:51,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train5000_epoch6,64,6,0.001,"(3, 384, 384)",Quadro RTX 6000,179.15,21846.36,['GELU'],86859496,1000,0.1,5000,200
2025-04-29 07:03:51,2025-04-29 07:04:04,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train2000_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,200
2025-04-29 07:04:04,2025-04-29 07:04:17,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train2000_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,100
2025-04-29 07:04:17,2025-04-29 07:11:37,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.3_train2000_epoch6,64,6,0.0001,"(3, 384, 384)",Quadro RTX 6000,71.62,21846.36,['GELU'],86859496,1000,0.3,2000,200
2025-04-29 07:11:37,2025-04-29 07:16:34,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train2000_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,71.13,21846.36,['GELU'],86859496,1000,0.1,2000,200
2025-04-29 07:16:34,2025-04-29 07:18:35,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train500_epoch6,64,6,0.0001,"(3, 384, 384)",Quadro RTX 6000,17.82,21846.36,['GELU'],86859496,1000,0.0,500,100
2025-04-29 07:18:35,2025-04-29 07:21:11,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train2000_epoch2,64,2,0.001,"(3, 384, 384)",Quadro RTX 6000,71.45,21846.36,['GELU'],86859496,1000,0.3,2000,100
2025-04-29 07:21:11,2025-04-29 07:23:45,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.1_train2000_epoch2,64,2,0.01,"(3, 384, 384)",Quadro RTX 6000,71.45,21846.36,['GELU'],86859496,1000,0.1,2000,100
2025-04-29 07:23:45,2025-04-29 07:24:01,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.0_train2000_epoch2,FAILED,2,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,2000,200
2025-04-29 07:24:01,2025-04-29 07:24:16,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train2000_epoch4,FAILED,4,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,100
2025-04-29 07:24:16,2025-04-29 07:24:28,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.3_train500_epoch6,FAILED,6,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,500,100
2025-04-29 07:24:28,2025-04-29 07:24:45,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train500_epoch2,FAILED,2,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,500,100
2025-04-29 07:24:45,2025-04-29 07:32:03,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train2000_epoch6,64,6,0.001,"(3, 384, 384)",Quadro RTX 6000,71.32,21846.36,['GELU'],86859496,1000,0.1,2000,100
2025-04-29 07:32:03,2025-04-29 07:32:18,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.1_train500_epoch2,FAILED,2,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,500,200
2025-04-29 07:32:18,2025-04-29 07:33:40,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train500_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,17.81,21846.36,['GELU'],86859496,1000,0.0,500,200
2025-04-29 07:33:40,2025-04-29 07:33:55,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train2000_epoch4,FAILED,4,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,2000,100
2025-04-29 07:33:55,2025-04-29 07:52:03,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.0_train5000_epoch6,64,6,0.01,"(3, 384, 384)",Quadro RTX 6000,179.35,21846.36,['GELU'],86859496,1000,0.0,5000,100
2025-04-29 07:52:04,2025-04-29 07:53:29,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train500_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,17.91,21846.36,['GELU'],86859496,1000,0.1,500,200
