start_date,end_date,model_name,run_name,batch_size,num_epochs,learning_rate,input_shape,gpu_type,epoch_duration_sec,max_gpu_memory_mb,activation_functions,num_parameters,num_classes,dropout_rate,train_sample_count,val_sample_count
2025-05-04 19:24:27,2025-05-04 19:24:37,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.0_train2000_epoch4,FAILED,4,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,2000,500
2025-05-04 19:24:37,2025-05-04 19:24:46,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.3_train2000_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,2000,100
2025-05-04 19:24:46,2025-05-04 19:24:52,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.1_train2000_epoch6,FAILED,6,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,2000,500
2025-05-04 19:24:52,2025-05-04 19:24:58,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.1_train10000_epoch4,FAILED,4,0.001,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,10000,200
2025-05-04 19:24:58,2025-05-04 19:25:45,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.1_train10000_epoch2,512,2,0.0001,"(3, 224, 224)",Quadro RTX 6000,22.91,14974.96,['GELU'],5717416,1000,0.1,10000,200
2025-05-04 19:25:45,2025-05-04 19:25:55,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train10000_epoch6,FAILED,6,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,10000,200
2025-05-04 19:25:55,2025-05-04 19:26:01,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train2000_epoch6,FAILED,6,0.1,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,2000,200
2025-05-04 19:26:01,2025-05-04 19:28:15,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.3_train10000_epoch6,512,6,0.1,"(3, 224, 224)",Quadro RTX 6000,22.02,14974.96,['GELU'],5717416,1000,0.3,10000,200
2025-05-04 19:28:15,2025-05-04 19:28:38,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train5000_epoch2,512,2,0.1,"(3, 224, 224)",Quadro RTX 6000,10.94,14975.75,['GELU'],5717416,1000,0.1,5000,200
2025-05-04 19:28:38,2025-05-04 19:28:48,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train500_epoch4,FAILED,4,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,500,100
2025-05-04 19:28:48,2025-05-04 19:29:07,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train2000_epoch4,512,4,0.1,"(3, 224, 224)",Quadro RTX 6000,4.33,14974.84,['GELU'],5717416,1000,0.1,2000,500
2025-05-04 19:29:07,2025-05-04 19:29:13,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.0_train500_epoch4,FAILED,4,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.0,500,500
