"Time","vllm-llama-mgx7d : ingress"
2025-12-02 10:24:00,1.05 p/s
2025-12-02 10:24:15,1.23 p/s
2025-12-02 10:24:30,667 mp/s
2025-12-02 10:24:45,667 mp/s
2025-12-02 10:25:00,1.17 p/s
2025-12-02 10:25:15,1.17 p/s
2025-12-02 10:25:30,767 mp/s
2025-12-02 10:25:45,767 mp/s
2025-12-02 10:26:00,1.03 p/s
2025-12-02 10:26:15,1.03 p/s
2025-12-02 10:26:30,900 mp/s
2025-12-02 10:26:45,900 mp/s
2025-12-02 10:27:00,700 mp/s
2025-12-02 10:27:15,700 mp/s
2025-12-02 10:27:30,700 mp/s
2025-12-02 10:27:45,700 mp/s
2025-12-02 10:28:00,700 mp/s
2025-12-02 10:28:15,700 mp/s
2025-12-02 10:28:30,1 p/s
2025-12-02 10:28:45,1 p/s
2025-12-02 10:29:00,767 mp/s
2025-12-02 10:29:15,767 mp/s
2025-12-02 10:29:30,500 mp/s
2025-12-02 10:29:45,500 mp/s
2025-12-02 10:30:00,700 mp/s
2025-12-02 10:30:15,700 mp/s
2025-12-02 10:30:30,733 mp/s
2025-12-02 10:30:45,733 mp/s
2025-12-02 10:31:00,767 mp/s
