"Time","vllm-granite-maxnumbatch-wz9h7 : egress"
2025-12-02 12:19:30,300 B/s
2025-12-02 12:19:45,389 B/s
2025-12-02 12:20:00,130 B/s
2025-12-02 12:20:15,130 B/s
2025-12-02 12:20:30,179 B/s
2025-12-02 12:20:45,179 B/s
2025-12-02 12:21:00,8.73 B/s
2025-12-02 12:21:15,8.73 B/s
2025-12-02 12:21:30,3.60 B/s
2025-12-02 12:21:45,3.60 B/s
2025-12-02 12:22:00,8.20 B/s
2025-12-02 12:22:15,8.20 B/s
2025-12-02 12:22:30,5 B/s
2025-12-02 12:22:45,5 B/s
2025-12-02 12:23:00,6.80 B/s
2025-12-02 12:23:15,6.80 B/s
2025-12-02 12:23:30,3.14 KiB/s
2025-12-02 12:23:45,3.74 KiB/s
2025-12-02 12:24:00,3.51 KiB/s
2025-12-02 12:24:15,3.51 KiB/s
2025-12-02 12:24:30,3.52 KiB/s
2025-12-02 12:24:45,3.52 KiB/s
2025-12-02 12:25:00,3.49 KiB/s
2025-12-02 12:25:15,3.49 KiB/s
2025-12-02 12:25:30,3.74 KiB/s
