"Time","container : vllm-container"
2025-12-02 12:19:00,476 MiB
2025-12-02 12:19:15,476 MiB
2025-12-02 12:19:30,825 MiB
2025-12-02 12:19:45,825 MiB
2025-12-02 12:20:00,1.97 GiB
2025-12-02 12:20:15,1.97 GiB
2025-12-02 12:20:30,4.38 GiB
2025-12-02 12:20:45,4.38 GiB
2025-12-02 12:21:00,7.90 GiB
2025-12-02 12:21:15,7.90 GiB
2025-12-02 12:21:30,11.4 GiB
2025-12-02 12:21:45,11.4 GiB
2025-12-02 12:22:00,14.4 GiB
2025-12-02 12:22:15,14.4 GiB
2025-12-02 12:22:30,16.7 GiB
2025-12-02 12:22:45,16.7 GiB
2025-12-02 12:23:00,17.4 GiB
2025-12-02 12:23:15,17.4 GiB
2025-12-02 12:23:30,17.7 GiB
2025-12-02 12:23:45,17.7 GiB
2025-12-02 12:24:00,17.7 GiB
2025-12-02 12:24:15,17.7 GiB
2025-12-02 12:24:30,17.7 GiB
2025-12-02 12:24:45,17.7 GiB
2025-12-02 12:25:00,17.7 GiB
2025-12-02 12:25:15,17.7 GiB
2025-12-02 12:25:30,17.7 GiB
