"Time","vllm-granite-maxnumbatch-wz9h7"
2025-12-02 12:23:00,0.0%
2025-12-02 12:23:15,0.0%
2025-12-02 12:23:30,0.0%
2025-12-02 12:23:45,0.0%
2025-12-02 12:24:00,0.0%
2025-12-02 12:24:15,0.0%
2025-12-02 12:24:30,0.0%
2025-12-02 12:24:45,0.0%
2025-12-02 12:25:00,0.0%
2025-12-02 12:25:15,0.0%
2025-12-02 12:25:30,0.0%
