"Time","container : vllm-container"
2025-12-02 11:12:15,1.83
2025-12-02 11:12:30,1.83
2025-12-02 11:12:45,0.537
2025-12-02 11:13:00,0.537
2025-12-02 11:13:15,0.344
2025-12-02 11:13:30,0.344
2025-12-02 11:13:45,0.325
2025-12-02 11:14:00,0.325
2025-12-02 11:14:15,0.344
2025-12-02 11:14:30,0.344
2025-12-02 11:14:45,0.243
2025-12-02 11:15:00,0.243
2025-12-02 11:15:15,0.591
2025-12-02 11:15:30,0.591
2025-12-02 11:15:45,1.11
2025-12-02 11:16:00,1.11
2025-12-02 11:16:15,0.0317
2025-12-02 11:16:30,0.0317
2025-12-02 11:16:45,0.0425
2025-12-02 11:17:00,0.0425
2025-12-02 11:17:15,0.0334
2025-12-02 11:17:30,0.0334
2025-12-02 11:17:45,0.0305
2025-12-02 11:18:00,0.0305
2025-12-02 11:18:15,0.0362
2025-12-02 11:18:30,0.0362
2025-12-02 11:18:45,0.0321
2025-12-02 11:19:00,0.0321
2025-12-02 11:19:15,0.0781
2025-12-02 11:19:30,0.0781
2025-12-02 11:19:45,1.02
2025-12-02 11:20:00,1.02
2025-12-02 11:20:15,0.0307
2025-12-02 11:20:30,0.0307
2025-12-02 11:20:45,0.0421
