"Time","vllm-granite-maxmodel-gwcx9 : egress"
2025-12-02 11:12:00,1.53 p/s
2025-12-02 11:12:15,1.83 p/s
2025-12-02 11:12:30,1.93 p/s
2025-12-02 11:12:45,1.93 p/s
2025-12-02 11:13:00,133 mp/s
2025-12-02 11:13:15,133 mp/s
2025-12-02 11:13:30,100 mp/s
2025-12-02 11:13:45,100 mp/s
2025-12-02 11:14:00,167 mp/s
2025-12-02 11:14:15,167 mp/s
2025-12-02 11:14:30,100 mp/s
2025-12-02 11:14:45,100 mp/s
2025-12-02 11:15:00,133 mp/s
2025-12-02 11:15:15,133 mp/s
2025-12-02 11:15:30,133 mp/s
2025-12-02 11:15:45,133 mp/s
2025-12-02 11:16:00,1.43 p/s
2025-12-02 11:16:15,1.43 p/s
2025-12-02 11:16:30,1.03 p/s
2025-12-02 11:16:45,1.03 p/s
2025-12-02 11:17:00,633 mp/s
2025-12-02 11:17:15,633 mp/s
2025-12-02 11:17:30,433 mp/s
2025-12-02 11:17:45,433 mp/s
2025-12-02 11:18:00,967 mp/s
2025-12-02 11:18:15,967 mp/s
2025-12-02 11:18:30,700 mp/s
2025-12-02 11:18:45,700 mp/s
2025-12-02 11:19:00,800 mp/s
2025-12-02 11:19:15,800 mp/s
2025-12-02 11:19:30,833 mp/s
2025-12-02 11:19:45,833 mp/s
2025-12-02 11:20:00,800 mp/s
2025-12-02 11:20:15,800 mp/s
2025-12-02 11:20:30,700 mp/s
2025-12-02 11:20:45,700 mp/s
