"Time","vllm-granite-maxmodel-gwcx9 : ingress"
2025-12-02 11:12:00,1.10 KiB/s
2025-12-02 11:12:15,1.10 KiB/s
2025-12-02 11:12:30,1.29 KiB/s
2025-12-02 11:12:45,1.29 KiB/s
2025-12-02 11:13:00,7.73 B/s
2025-12-02 11:13:15,7.73 B/s
2025-12-02 11:13:30,4.93 B/s
2025-12-02 11:13:45,4.93 B/s
2025-12-02 11:14:00,10.2 B/s
2025-12-02 11:14:15,10.2 B/s
2025-12-02 11:14:30,6.33 B/s
2025-12-02 11:14:45,6.33 B/s
2025-12-02 11:15:00,8.80 B/s
2025-12-02 11:15:15,8.80 B/s
2025-12-02 11:15:30,6.33 B/s
2025-12-02 11:15:45,6.33 B/s
2025-12-02 11:16:00,727 B/s
2025-12-02 11:16:15,727 B/s
2025-12-02 11:16:30,110 B/s
2025-12-02 11:16:45,110 B/s
2025-12-02 11:17:00,73.3 B/s
2025-12-02 11:17:15,73.3 B/s
2025-12-02 11:17:30,41.0 B/s
2025-12-02 11:17:45,41.0 B/s
2025-12-02 11:18:00,110 B/s
2025-12-02 11:18:15,110 B/s
2025-12-02 11:18:30,73.3 B/s
2025-12-02 11:18:45,73.3 B/s
2025-12-02 11:19:00,85.1 B/s
2025-12-02 11:19:15,85.1 B/s
2025-12-02 11:19:30,105 B/s
2025-12-02 11:19:45,105 B/s
2025-12-02 11:20:00,88.1 B/s
2025-12-02 11:20:15,88.1 B/s
2025-12-02 11:20:30,75.5 B/s
2025-12-02 11:20:45,75.5 B/s
