"Time","{__name__=""container_file_descriptors"", container=""vllm-container"", endpoint=""https-metrics"", id=""/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod9e2f034e_d034_41bf_ba51_d5fa3d990a6f.slice/cri-containerd-926be094a395deed171a89c56a8dd58bae400c0733a8dcff8ab49176be5bfe23.scope"", image=""docker.io/vllm/vllm-openai:latest"", instance=""130.245.126.109:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""926be094a395deed171a89c56a8dd58bae400c0733a8dcff8ab49176be5bfe23"", namespace=""llm-servings"", node=""sunyibm1.fsl.cs.sunysb.edu"", pod=""vllm-granite-maxmodel-gwcx9"", service=""kubelet""}"
2025-12-02 11:11:30,11
2025-12-02 11:11:45,11
2025-12-02 11:12:00,153
2025-12-02 11:12:15,153
2025-12-02 11:12:30,128
2025-12-02 11:12:45,128
2025-12-02 11:13:00,128
2025-12-02 11:13:15,128
2025-12-02 11:13:30,128
2025-12-02 11:13:45,128
2025-12-02 11:14:00,128
2025-12-02 11:14:15,128
2025-12-02 11:14:30,128
2025-12-02 11:14:45,128
2025-12-02 11:15:00,159
2025-12-02 11:15:15,159
2025-12-02 11:15:30,140
2025-12-02 11:15:45,140
2025-12-02 11:16:00,140
2025-12-02 11:16:15,140
2025-12-02 11:16:30,141
2025-12-02 11:16:45,141
2025-12-02 11:17:00,141
2025-12-02 11:17:15,141
2025-12-02 11:17:30,140
2025-12-02 11:17:45,140
2025-12-02 11:18:00,141
2025-12-02 11:18:15,141
2025-12-02 11:18:30,140
2025-12-02 11:18:45,140
2025-12-02 11:19:00,142
2025-12-02 11:19:15,142
2025-12-02 11:19:30,142
2025-12-02 11:19:45,142
2025-12-02 11:20:00,141
2025-12-02 11:20:15,141
2025-12-02 11:20:30,140
2025-12-02 11:20:45,140
